Codes,COD_IMP,COD_REV,COD_REV_REQ,COD_UP_REQ,CO_POT_SOL,CO_PRB_CUS,FLD_NW_ISUE,IMP_REVRSN,ISUE_IMPCT,POT_SOL_DES,PRB_CUS_IDN,PRB_LOC,PRB_REV,PRB_REV_REQ,REP_ATT,REP_REQ,SLVD_BY_ISUE,SOL_REV,SOL_REV_REQ,SOL_VER,UPLFT_APRV,VER_REQ
COD_IMP,328,264,43,22,14,23,44,42,17,134,66,23,66,44,38,9,8,59,24,106,33,24
COD_REV,264,264,39,21,14,22,42,41,16,107,50,16,52,33,30,8,7,53,20,88,28,18
COD_REV_REQ,43,39,43,6,5,7,13,11,4,26,9,2,11,6,5,2,1,13,8,21,3,8
COD_UP_REQ,22,21,6,22,3,3,7,9,3,13,6,4,6,5,4,2,0,5,3,11,3,6
CO_POT_SOL,14,14,5,3,14,13,7,7,2,7,3,0,2,1,1,0,0,3,4,11,1,4
CO_PRB_CUS,23,22,7,3,13,23,10,12,3,12,3,0,4,4,2,0,0,8,6,19,3,5
FLD_NW_ISUE,44,42,13,7,7,10,46,9,6,26,14,6,15,8,6,2,2,22,8,28,7,8
IMP_REVRSN,42,41,11,9,7,12,9,42,4,23,6,2,9,7,2,1,2,9,6,19,8,7
ISUE_IMPCT,17,16,4,3,2,3,6,4,18,11,9,3,8,6,6,1,1,5,4,12,4,4
POT_SOL_DES,134,107,26,13,7,12,26,23,11,142,40,13,44,28,25,6,11,56,25,64,13,18
PRB_CUS_IDN,66,50,9,6,3,3,14,6,9,40,76,11,27,23,26,5,10,17,4,35,11,11
PRB_LOC,23,16,2,4,0,0,6,2,3,13,11,28,13,10,8,2,5,6,2,17,7,6
PRB_REV,66,52,11,6,2,4,15,9,8,44,27,13,74,32,19,5,8,22,7,36,14,16
PRB_REV_REQ,44,33,6,5,1,4,8,7,6,28,23,10,32,47,18,5,3,13,3,27,8,8
REP_ATT,38,30,5,4,1,2,6,2,6,25,26,8,19,18,47,8,8,11,6,26,6,7
REP_REQ,9,8,2,2,0,0,2,1,1,6,5,2,5,5,8,9,0,4,1,6,2,3
SLVD_BY_ISUE,8,7,1,0,0,0,2,2,1,11,10,5,8,3,8,0,33,8,3,11,1,3
SOL_REV,59,53,13,5,3,8,22,9,5,56,17,6,22,13,11,4,8,64,19,31,7,6
SOL_REV_REQ,24,20,8,3,4,6,8,6,4,25,4,2,7,3,6,1,3,19,27,19,1,4
SOL_VER,106,88,21,11,11,19,28,19,12,64,35,17,36,27,26,6,11,31,19,115,24,23
UPLFT_APRV,33,28,3,3,1,3,7,8,4,13,11,7,14,8,6,2,1,7,1,24,33,8
VER_REQ,24,18,8,6,4,5,8,7,4,18,11,6,16,8,7,3,3,6,4,23,8,27
